model,rank,mean_cv_score,std_cv_score,alpha,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,learning_rate,subsample
RandomForest,40,0.2632246799873349,0.02787061651172939,,30,0.7,5.0,6.0,763.0,,
RandomForest,41,0.26312176860049435,0.024220233127636895,,20,sqrt,4.0,2.0,629.0,,
RandomForest,42,0.2629492065533012,0.02969203967425512,,,0.7,5.0,7.0,486.0,,
RandomForest,43,0.26262323125228815,0.025942274258604556,,15,0.5,4.0,12.0,689.0,,
RandomForest,44,0.2617126297763543,0.029452405067410935,,,0.7,2.0,16.0,277.0,,
RandomForest,45,0.2608855698735495,0.025761203561841153,,,0.7,1.0,18.0,748.0,,
RandomForest,46,0.2607608095995949,0.024824124196815903,,15,0.5,2.0,15.0,425.0,,
RandomForest,47,0.2605726737900869,0.02260395251846398,,20,sqrt,4.0,6.0,253.0,,
RandomForest,48,0.2599417473329814,0.027773062634381333,,,0.7,4.0,14.0,781.0,,
RandomForest,49,0.2592581161336885,0.021543164320302483,,10,0.3,1.0,7.0,329.0,,
RandomForest,50,0.2589323767071745,0.027200089659450092,,20,0.7,1.0,17.0,238.0,,
RandomForest,51,0.25820752059710383,0.030739338659092907,,15,0.7,5.0,7.0,148.0,,
RandomForest,52,0.258091808803426,0.02484370592529027,,,0.5,4.0,13.0,739.0,,
RandomForest,53,0.25797352171929855,0.015701568363704826,,30,sqrt,4.0,5.0,119.0,,
RandomForest,54,0.2579196828111934,0.024643741767766,,20,0.5,5.0,8.0,245.0,,
RandomForest,55,0.2571797370591698,0.02768101924140187,,30,0.7,4.0,14.0,209.0,,
RandomForest,56,0.2566532450798788,0.026487029749414002,,,0.5,1.0,18.0,491.0,,
RandomForest,57,0.2564868446917183,0.026240746927452152,,10,0.7,2.0,13.0,463.0,,
RandomForest,58,0.25629322113121683,0.02451259562923933,,,0.5,5.0,6.0,209.0,,
RandomForest,59,0.2548130136811239,0.02456111916230522,,25,0.7,4.0,16.0,705.0,,
RandomForest,60,0.2541180910255682,0.024467600972540145,,15,log2,2.0,14.0,790.0,,
RandomForest,61,0.25341006866061766,0.025898317139159233,,10,0.5,4.0,4.0,560.0,,
RandomForest,62,0.2526516903967271,0.02452440321520013,,30,0.5,3.0,16.0,193.0,,
RandomForest,63,0.25213963852401816,0.02596701474873558,,30,0.7,5.0,15.0,627.0,,
RandomForest,64,0.2504075784395073,0.023883336436455335,,15,0.5,4.0,16.0,695.0,,
RandomForest,65,0.24943681920073227,0.024925271489114793,,15,0.3,5.0,5.0,614.0,,
RandomForest,66,0.24941791137507324,0.024065765177745977,,25,sqrt,3.0,14.0,766.0,,
RandomForest,67,0.24895175384534363,0.02712232202184012,,,0.7,6.0,8.0,223.0,,
RandomForest,68,0.2486938139879668,0.02458850544917951,,30,sqrt,3.0,14.0,397.0,,
RandomForest,69,0.24768041587002712,0.02625785489444475,,25,0.5,3.0,16.0,141.0,,
RandomForest,70,0.24754130191428808,0.028125895402851576,,30,0.7,6.0,4.0,125.0,,
RandomForest,71,0.24576060806193256,0.025760038978777315,,25,log2,5.0,2.0,509.0,,
RandomForest,72,0.24565339978474365,0.025451995048540853,,,sqrt,5.0,7.0,631.0,,
RandomForest,73,0.24430886888316286,0.026556609407805812,,25,log2,5.0,2.0,423.0,,
RandomForest,74,0.24386161585256647,0.022314491060955285,,15,sqrt,4.0,11.0,116.0,,
RandomForest,75,0.24350420167799935,0.023227457248355027,,,0.7,7.0,7.0,525.0,,
RandomForest,76,0.2433909324985491,0.028234103345087854,,30,log2,5.0,9.0,153.0,,
RandomForest,77,0.24317990477329632,0.01926328891654945,,15,0.3,1.0,18.0,221.0,,
RandomForest,78,0.2418906578369036,0.02454990696176216,,20,sqrt,2.0,18.0,127.0,,
RandomForest,79,0.24181083846591087,0.02326260533042795,,10,0.5,5.0,5.0,276.0,,
RandomForest,80,0.2406571201041036,0.026464725391060758,,,0.3,4.0,16.0,352.0,,
RandomForest,81,0.2397729747810497,0.0319933975345688,,20,sqrt,5.0,2.0,107.0,,
RandomForest,82,0.23971765472919765,0.022660028259699254,,,0.7,7.0,11.0,149.0,,
RandomForest,83,0.2396186787077018,0.034636064411176816,,20,sqrt,5.0,7.0,77.0,,
RandomForest,84,0.23944520747921202,0.023066766074940653,,20,0.5,7.0,5.0,734.0,,
RandomForest,85,0.23829131432199285,0.02206747066973185,,15,log2,4.0,15.0,320.0,,
RandomForest,86,0.23822787670900664,0.021696694665165807,,20,log2,4.0,16.0,504.0,,
RandomForest,87,0.23767458470033348,0.02029550998799075,,30,log2,3.0,18.0,182.0,,
RandomForest,88,0.2372703068362619,0.02110420754505897,,20,log2,3.0,18.0,169.0,,
RandomForest,89,0.23722932356848955,0.02179768756547765,,15,0.5,7.0,3.0,436.0,,
RandomForest,90,0.23359047054990772,0.023981265451008656,,20,log2,6.0,5.0,773.0,,
RandomForest,91,0.23342229978781157,0.026023563287473385,,15,0.3,6.0,8.0,140.0,,
RandomForest,92,0.23315900356392652,0.027067271396704583,,25,0.3,6.0,2.0,72.0,,
RandomForest,93,0.2331503215035921,0.024334609099703423,,15,log2,6.0,5.0,488.0,,
RandomForest,94,0.23312061762818087,0.024108834930036842,,15,log2,6.0,7.0,562.0,,
RandomForest,95,0.23206315579765877,0.024096018378436692,,10,0.5,2.0,18.0,145.0,,
RandomForest,96,0.2320063860220139,0.020876634010259236,,10,sqrt,2.0,13.0,596.0,,
RandomForest,97,0.2319741770158506,0.026098433094010394,,,log2,6.0,6.0,188.0,,
RandomForest,98,0.23195812244282746,0.022944056401420394,,15,sqrt,6.0,13.0,438.0,,
RandomForest,99,0.22987911343391945,0.02102374058699697,,15,0.7,8.0,16.0,84.0,,
RandomForest,100,0.22928610418542145,0.022062309505230276,,30,0.3,6.0,17.0,569.0,,
RandomForest,101,0.22907063666738497,0.02311882391331601,,15,sqrt,6.0,14.0,748.0,,
RandomForest,102,0.22902007505457794,0.021671699488821087,,30,0.3,7.0,6.0,523.0,,
RandomForest,103,0.22871188681816146,0.020705176884639315,,10,0.5,7.0,10.0,689.0,,
RandomForest,104,0.2283922170337732,0.02240332149069158,,,0.5,8.0,12.0,548.0,,
RandomForest,105,0.22818530601765136,0.0210229419110554,,25,sqrt,4.0,19.0,437.0,,
RandomForest,106,0.22810610293697256,0.024139021578017787,,20,log2,5.0,14.0,90.0,,
RandomForest,107,0.22798163769320462,0.02264646355918074,,20,0.5,8.0,17.0,307.0,,
RandomForest,108,0.22792287028477826,0.019936678244975335,,15,0.7,8.0,5.0,139.0,,
RandomForest,109,0.22778084714377078,0.021703306789145813,,10,0.3,3.0,16.0,712.0,,
RandomForest,110,0.22701690270120176,0.02253078913064011,,30,sqrt,5.0,17.0,708.0,,
RandomForest,111,0.22679817184857107,0.023375915879927562,,25,log2,5.0,17.0,262.0,,
RandomForest,112,0.22639856289865312,0.02183003122109108,,30,0.5,8.0,10.0,292.0,,
RandomForest,113,0.2261045227841178,0.02211373649641702,,,0.5,8.0,12.0,278.0,,
RandomForest,114,0.22541895825028568,0.02328944685772431,,15,0.5,8.0,4.0,244.0,,
RandomForest,115,0.22536489241770447,0.02042374727473163,,15,0.3,6.0,18.0,250.0,,
RandomForest,116,0.22504500755265053,0.02004048494779935,,10,log2,3.0,13.0,616.0,,
RandomForest,117,0.22495581109130902,0.021209614138502805,,10,log2,5.0,2.0,333.0,,
RandomForest,118,0.2248931931475187,0.021180024421713167,,,0.7,9.0,18.0,599.0,,
RandomForest,119,0.22421877085721859,0.02369008892750689,,20,0.5,8.0,18.0,379.0,,
RandomForest,120,0.2233071502075507,0.02114527864330508,,10,sqrt,1.0,17.0,509.0,,
RandomForest,121,0.22327117989142894,0.022345153604564152,,10,0.3,6.0,7.0,628.0,,
RandomForest,122,0.22326297227652966,0.02004962225000799,,15,sqrt,5.0,18.0,351.0,,
RandomForest,123,0.2230810367117419,0.01866391249592322,,10,sqrt,4.0,13.0,494.0,,
RandomForest,124,0.22277486737011154,0.02161741827820054,,30,sqrt,7.0,14.0,742.0,,
RandomForest,125,0.22270825488004736,0.022155972321011234,,20,log2,7.0,4.0,457.0,,
RandomForest,126,0.22262678872693414,0.0210586702491517,,10,0.3,4.0,14.0,91.0,,
RandomForest,127,0.22156483205382585,0.020182988878395026,,,sqrt,6.0,17.0,398.0,,
