model,rank,mean_cv_score,std_cv_score,C,penalty,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,learning_rate,subsample
RandomForest,17,0.7293479151306628,0.012967430663646324,,,30,0.3,2.0,7.0,788.0,,
RandomForest,18,0.7293397231096913,0.021038774790264596,,,20,log2,4.0,16.0,504.0,,
RandomForest,19,0.7293397231096912,0.021611315235650203,,,25,sqrt,3.0,14.0,766.0,,
RandomForest,20,0.7287191775210945,0.019001273444783116,,,20,sqrt,5.0,7.0,77.0,,
RandomForest,21,0.7287068894896371,0.017164644111421903,,,20,sqrt,4.0,2.0,629.0,,
RandomForest,22,0.7287048414843942,0.021337233415464923,,,,sqrt,5.0,7.0,631.0,,
RandomForest,23,0.7287027934791512,0.02088546709593936,,,25,log2,5.0,2.0,509.0,,
RandomForest,24,0.7286925534529368,0.023245808967941806,,,10,0.3,1.0,7.0,329.0,,
RandomForest,25,0.7280699598590973,0.015435847715285455,,,20,0.7,1.0,8.0,570.0,,
RandomForest,26,0.7280679118538544,0.016244705291781375,,,20,log2,2.0,3.0,212.0,,
RandomForest,27,0.7280658638486115,0.019163040709720764,,,25,log2,5.0,2.0,423.0,,
RandomForest,28,0.7280638158433687,0.018546076017467193,,,15,log2,2.0,14.0,790.0,,
RandomForest,29,0.7274371262390432,0.008977319727684613,,,30,0.7,4.0,7.0,371.0,,
RandomForest,30,0.7274248382075859,0.022366660471714334,,,10,sqrt,2.0,13.0,596.0,,
RandomForest,31,0.727422790202343,0.023293531587106387,,,30,sqrt,3.0,14.0,397.0,,
RandomForest,32,0.7267858605718032,0.015600837721396532,,,15,log2,6.0,5.0,488.0,,
RandomForest,32,0.7267858605718032,0.01686024343183801,,,25,log2,3.0,9.0,735.0,,
RandomForest,34,0.7267817645613173,0.019618758874493672,,,20,0.5,2.0,7.0,560.0,,
RandomForest,35,0.7267797165560743,0.02077463508580611,,,15,0.3,6.0,18.0,250.0,,
RandomForest,36,0.7261571229622349,0.013095390734023316,,,20,0.7,3.0,7.0,643.0,,
RandomForest,37,0.7261530269517491,0.015986575180593886,,,30,sqrt,5.0,17.0,708.0,,
RandomForest,38,0.7261468829360205,0.014640080067430459,,,,log2,6.0,6.0,188.0,,
RandomForest,39,0.7261468829360204,0.015975406578621457,,,15,log2,2.0,4.0,355.0,,
RandomForest,40,0.7261386909150488,0.023542288746938422,,,30,0.5,3.0,16.0,193.0,,
RandomForest,41,0.7255099533054805,0.020094671773496737,,,15,sqrt,1.0,9.0,83.0,,
RandomForest,42,0.7255058572949947,0.017441872451779073,,,,0.5,2.0,10.0,395.0,,
RandomForest,43,0.7255017612845089,0.021584639934920796,,,20,sqrt,2.0,18.0,127.0,,
RandomForest,43,0.7255017612845089,0.0193925848956106,,,10,log2,5.0,2.0,333.0,,
RandomForest,45,0.7254976652740232,0.023195090584369228,,,15,log2,4.0,15.0,320.0,,
RandomForest,46,0.7254956172687802,0.02205251305691107,,,,log2,1.0,12.0,331.0,,
RandomForest,47,0.7248730236749407,0.01970072722071589,,,20,0.7,3.0,13.0,74.0,,
RandomForest,48,0.7248689276644549,0.013351829408409618,,,15,0.7,4.0,6.0,456.0,,
RandomForest,49,0.7248668796592119,0.02285844847023286,,,20,0.7,1.0,17.0,238.0,,
RandomForest,50,0.724864831653969,0.017767450097652297,,,15,sqrt,4.0,11.0,116.0,,
RandomForest,51,0.7242279020234292,0.014886495507907712,,,30,0.7,1.0,14.0,328.0,,
RandomForest,52,0.7242258540181863,0.01721386113414581,,,15,log2,6.0,7.0,562.0,,
RandomForest,53,0.7242217580077005,0.01929563503578634,,,15,0.3,6.0,8.0,140.0,,
RandomForest,54,0.7242197100024577,0.021717117124188355,,,20,log2,6.0,5.0,773.0,,
RandomForest,55,0.724211517981486,0.02498332174129139,,,20,0.5,5.0,8.0,245.0,,
RandomForest,56,0.7235930203981322,0.01872622731238771,,,10,0.7,3.0,2.0,466.0,,
RandomForest,57,0.7235889243876465,0.018334803281768536,,,,0.5,4.0,6.0,595.0,,
RandomForest,58,0.7235889243876464,0.015564631540904952,,,25,0.7,2.0,14.0,175.0,,
RandomForest,59,0.7235868763824036,0.017804966538923155,,,10,0.7,2.0,9.0,410.0,,
RandomForest,60,0.7235868763824035,0.01769141990712746,,,30,0.7,4.0,14.0,209.0,,
RandomForest,61,0.7229601867780782,0.010256793023410714,,,,0.3,3.0,2.0,428.0,,
